,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,interest_rate,is_renter,state_grouped,log_transformed_annual_income,log_transformed_debit_to_income,months_since_last_delinq,inquiries_last_12m,months_since_90d_late,accounts_opened_24m,num_active_debit_accounts,total_debit_limit,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,interest_rate,square_months_since_last_delinq,never_late_payment,delinq_risk_category,log_total_debit_limit,log_num_active_debit_accounts,has_bankruptcy,loan_purpose,application_type,loan_amount,installment,interest_rate
1316,10.0,CA,RENT,158000.0,Not Verified,2.32,6.71,1,CA,11.970356641102999,1.199964782928397,43.0,3,129.0,6,3,61400,1,96.4,0,6.71,1849.0,1,Low Risk,11.02518140064756,1.3862943611198906,0,debt_consolidation,individual,14000,430.43,6.71
1317,1.0,CO,MORTGAGE,62400.0,Not Verified,12.76,11.98,0,other,11.041336579870135,2.6217658325051976,119.0,2,129.0,5,2,12500,2,100.0,0,11.98,14161.0,1,Perfect,9.433563920090563,1.0986122886681098,0,home_improvement,individual,1300,43.17,11.98
1318,1.0,AZ,RENT,36000.0,Not Verified,18.77,7.35,1,other,10.491301994830229,2.9841656371825254,119.0,0,129.0,4,3,11000,0,100.0,0,7.35,14161.0,1,Perfect,9.305741456739435,1.3862943611198906,0,debt_consolidation,individual,3700,114.84,7.35
1319,6.0,GA,RENT,55000.0,Source Verified,5.63,12.62,1,GA,10.915106645867503,1.891604804197771,52.0,3,52.0,7,2,57000,0,96.7,0,12.62,2704.0,0,Low Risk,10.950824090522445,1.0986122886681098,0,other,joint,36000,812.13,12.62
1320,6.0,IN,MORTGAGE,56400.0,Not Verified,1.98,11.99,0,other,10.94024216782542,1.091923300517313,119.0,4,129.0,4,0,0,0,100.0,0,11.99,14161.0,1,Perfect,0.0,0.0,0,debt_consolidation,individual,19200,427.0,11.99
1321,2.0,MA,RENT,105000.0,Not Verified,19.41,11.98,1,other,11.561725152903833,3.0160249768217535,119.0,0,129.0,1,6,37000,0,100.0,0,11.98,14161.0,1,Perfect,10.518700218288165,1.9459101490553132,0,credit_card,individual,22000,730.51,11.98
1322,4.0,KS,RENT,38000.0,Not Verified,21.73,18.06,1,other,10.545367754151743,3.123685637864452,119.0,6,129.0,2,2,22400,0,100.0,0,18.06,14161.0,1,Perfect,10.016860879703811,1.0986122886681098,0,debt_consolidation,individual,9800,354.59,18.06
1323,6.0,MS,MORTGAGE,115000.0,Source Verified,7.87,12.61,0,other,11.652696102959753,2.1826747963214883,64.0,4,64.0,5,1,10300,5,63.0,0,12.61,4096.0,0,High Risk,9.239996256883693,0.6931471805599453,0,other,individual,12000,270.65,12.61
1324,10.0,WY,OWN,77017.0,Source Verified,20.18,17.47,0,other,11.251794439750519,3.0530573401732606,119.0,2,129.0,3,4,35000,2,100.0,0,17.47,14161.0,1,Perfect,10.463131911491967,1.6094379124341003,0,home_improvement,individual,28500,715.53,17.47
1325,10.0,OR,RENT,55000.0,Verified,0.55,15.05,1,other,10.915106645867503,0.4382549309311553,119.0,1,129.0,1,1,6000,5,100.0,0,15.05,14161.0,1,Perfect,8.699681400989514,0.6931471805599453,0,other,individual,25000,595.41,15.05
1326,4.0,TX,OWN,48000.0,Not Verified,0.68,9.43,0,TX,10.778977123006351,0.5187937934151675,33.0,0,34.0,1,1,4000,3,80.0,0,9.43,1089.0,0,High Risk,8.294299608857235,0.6931471805599453,0,credit_card,individual,6000,192.01,9.43
1327,10.0,CA,OWN,220000.0,Source Verified,9.19,5.31,0,CA,12.301387370778713,2.321406847234633,119.0,0,129.0,2,0,0,4,100.0,0,5.31,14161.0,1,Perfect,0.0,0.0,0,debt_consolidation,individual,3500,105.39,5.31
1328,6.0,CA,RENT,59000.0,Source Verified,18.28,10.41,1,CA,10.985309671896763,2.9590682891823996,56.0,6,56.0,19,8,24100,0,90.3,0,10.41,3136.0,0,Moderate Risk,10.090008612393838,2.1972245773362196,0,debt_consolidation,individual,12000,389.53,10.41
1329,10.0,IL,RENT,72000.0,Not Verified,20.18,15.05,1,IL,11.184435286790631,3.0530573401732606,119.0,0,129.0,4,5,22300,0,100.0,0,15.05,14161.0,1,Perfect,10.012386799492118,1.791759469228055,0,other,individual,4500,156.11,15.05
1330,6.0,WA,MORTGAGE,0.0,Not Verified,17.57,7.35,0,other,0.0,2.9215473753646144,53.0,1,67.0,7,3,19000,3,95.5,0,7.35,2809.0,0,Low Risk,9.852246888342531,1.3862943611198906,0,debt_consolidation,joint,15000,465.57,7.35
1331,4.0,TN,MORTGAGE,66920.0,Verified,12.32,19.03,0,other,11.111268098204892,2.589266665112243,119.0,0,129.0,3,4,14500,1,100.0,0,19.03,14161.0,1,Perfect,9.581972891547895,1.6094379124341003,0,credit_card,individual,10000,259.58,19.03
1332,10.0,CA,MORTGAGE,53000.0,Not Verified,28.92,10.41,0,CA,10.87806606028079,3.3985271531062766,26.0,1,129.0,3,2,4000,4,92.9,0,10.41,676.0,1,Moderate Risk,8.294299608857235,1.0986122886681098,0,other,joint,5000,162.31,10.41
1333,5.0,OH,MORTGAGE,26000.0,Source Verified,18.19,10.91,0,OH,10.165890277802454,2.9543893100196086,21.0,4,21.0,4,1,11600,0,71.4,0,10.91,441.0,0,High Risk,9.358846580275406,0.6931471805599453,0,credit_card,individual,5600,183.1,10.91
1334,0.0,NJ,RENT,76000.0,Not Verified,25.09,7.97,1,NJ,11.23850177707664,3.261552099148637,119.0,2,129.0,4,5,29300,0,100.0,0,7.97,14161.0,1,Perfect,10.285376924115587,1.791759469228055,0,credit_card,individual,12000,375.88,7.97
1335,2.0,CA,OWN,55000.0,Source Verified,12.7,9.93,0,CA,10.915106645867503,2.617395832834079,21.0,2,129.0,2,3,12700,1,75.0,0,9.93,441.0,1,High Risk,9.44943600950432,1.3862943611198906,0,credit_card,individual,8800,283.67,9.93
1336,10.0,WI,OWN,78000.0,Not Verified,33.14,12.62,0,other,11.264476926102367,3.5304697173662944,119.0,9,129.0,7,2,12700,4,100.0,0,12.62,14161.0,1,Perfect,9.44943600950432,1.0986122886681098,0,other,individual,25000,563.98,12.62
1337,6.0,FL,MORTGAGE,110000.0,Not Verified,18.61,12.62,0,FL,11.608244735642321,2.976039640208255,119.0,2,129.0,3,3,6500,0,100.0,1,12.62,14161.0,1,Perfect,8.77971129020447,1.3862943611198906,1,debt_consolidation,individual,10000,335.12,12.62
1338,3.0,IN,MORTGAGE,58000.0,Verified,20.82,18.06,0,other,10.968215530759236,3.0828269804049246,56.0,5,56.0,8,3,7500,1,95.7,0,18.06,3136.0,0,Low Risk,8.922791623969637,1.3862943611198906,0,debt_consolidation,individual,15000,542.74,18.06
1339,4.0,GA,RENT,48000.0,Source Verified,27.87,6.71,1,GA,10.778977123006351,3.3628029936748436,34.0,0,34.0,1,3,23300,0,97.7,0,6.71,1156.0,0,Low Risk,10.056251557087757,1.3862943611198906,0,home_improvement,individual,12000,368.94,6.71
1340,10.0,MO,MORTGAGE,90000.0,Source Verified,19.49,6.07,0,other,11.407576060361786,3.0199369622508083,28.0,1,129.0,4,2,33500,6,88.9,0,6.07,784.0,1,Moderate Risk,10.419330568113901,1.0986122886681098,0,other,individual,20000,609.08,6.07
1341,10.0,CA,MORTGAGE,62000.0,Verified,29.95,18.06,0,CA,11.034905792929415,3.432372999130605,119.0,1,129.0,3,4,20200,0,100.0,1,18.06,14161.0,1,Perfect,9.913487387114461,1.6094379124341003,1,debt_consolidation,individual,2600,94.08,18.06
1343,0.0,MI,MORTGAGE,280000.0,Source Verified,18.64,13.59,0,other,12.54254845357358,2.97756830292632,43.0,8,129.0,10,7,32000,2,91.1,0,13.59,1849.0,1,Moderate Risk,10.373522431293592,2.0794415416798357,0,debt_consolidation,individual,33550,1139.99,13.59
1344,1.0,TN,MORTGAGE,62000.0,Not Verified,9.16,7.96,0,other,11.034905792929415,2.318458442150336,25.0,1,129.0,6,3,12700,3,95.6,0,7.96,625.0,1,Low Risk,9.44943600950432,1.3862943611198906,0,home_improvement,individual,3000,93.96,7.96
1345,10.0,MI,MORTGAGE,223500.0,Verified,15.22,9.43,0,other,12.317171167298682,2.7862450486872667,119.0,2,129.0,4,5,47400,0,100.0,0,9.43,14161.0,1,Perfect,10.766398604507042,1.791759469228055,0,major_purchase,individual,40000,1280.01,9.43
1346,10.0,AZ,MORTGAGE,80000.0,Source Verified,8.87,5.31,0,other,11.289794413577894,2.28949985344539,119.0,0,129.0,1,1,15000,2,100.0,0,5.31,14161.0,1,Perfect,9.61587214452889,0.6931471805599453,0,credit_card,individual,6000,180.67,5.31
1347,2.0,IN,MORTGAGE,147000.0,Verified,26.14,6.07,0,other,11.898194668458823,3.301008654406723,27.0,0,129.0,3,5,67100,2,97.2,0,6.07,729.0,1,Low Risk,11.11395422597838,1.791759469228055,0,home_improvement,joint,40000,1218.15,6.07
1348,1.0,AL,MORTGAGE,69116.0,Not Verified,20.33,21.45,0,other,11.143555999758231,3.0601145324832593,14.0,11,48.0,9,4,9400,2,92.5,0,21.45,196.0,0,Moderate Risk,9.148571345578551,1.6094379124341003,0,debt_consolidation,individual,15000,568.6,21.45
1349,2.0,WA,RENT,75000.0,Not Verified,5.34,7.35,1,other,11.225256725762893,1.8468787684491346,119.0,2,129.0,1,1,8000,0,100.0,0,7.35,14161.0,1,Perfect,8.987321812850125,0.6931471805599453,0,other,individual,20000,620.75,7.35
1350,2.0,IN,OWN,45000.0,Source Verified,9.63,11.98,0,other,10.714439990727769,2.363680192353857,47.0,1,129.0,4,4,6500,0,85.7,0,11.98,2209.0,1,Moderate Risk,8.77971129020447,1.6094379124341003,0,major_purchase,individual,16000,531.28,11.98
1351,10.0,NY,MORTGAGE,60000.0,Not Verified,26.2,7.34,0,NY,11.002116507732017,3.3032169733019514,119.0,0,129.0,2,3,32800,2,100.0,0,7.34,14161.0,1,Perfect,10.39821428171237,1.3862943611198906,0,debt_consolidation,joint,14000,434.46,7.34
1353,1.0,WA,MORTGAGE,60000.0,Source Verified,10.32,12.61,0,other,11.002116507732017,2.4265710727750367,119.0,5,129.0,3,4,22600,2,100.0,1,12.61,14161.0,1,Perfect,10.025749432069084,1.6094379124341003,1,debt_consolidation,individual,20000,451.08,12.61
1354,10.0,GA,MORTGAGE,80000.0,Source Verified,10.23,7.34,0,GA,11.289794413577894,2.418588768750352,55.0,2,55.0,4,3,35200,4,70.6,1,7.34,3025.0,0,High Risk,10.468829770273567,1.3862943611198906,1,credit_card,individual,10000,310.33,7.34
1355,0.0,NV,RENT,40000.0,Not Verified,4.17,9.93,1,other,10.596659732783579,1.6428726885203377,119.0,0,129.0,4,1,2500,0,100.0,0,9.93,14161.0,1,Perfect,7.824445930877619,0.6931471805599453,0,credit_card,individual,3000,96.71,9.93
1356,6.0,GA,MORTGAGE,30000.0,Not Verified,17.0,9.44,0,GA,10.308985993422082,2.8903717578961645,119.0,0,129.0,1,2,37500,3,100.0,0,9.44,14161.0,1,Perfect,10.53212287826962,1.0986122886681098,0,other,individual,15000,314.59,9.44
1357,9.0,TX,MORTGAGE,75000.0,Verified,35.26,18.45,0,TX,11.225256725762893,3.590715205326705,119.0,0,129.0,7,4,23400,2,100.0,0,18.45,14161.0,1,Perfect,10.060534035475412,1.6094379124341003,0,debt_consolidation,individual,11200,287.16,18.45
1358,10.0,CO,MORTGAGE,120000.0,Not Verified,7.73,6.07,0,other,11.695255355062795,2.166765369851511,45.0,6,129.0,5,3,60500,9,100.0,0,6.07,2025.0,1,Perfect,11.010415172807951,1.3862943611198906,0,other,individual,20000,609.08,6.07
1359,4.0,PA,RENT,50000.0,Source Verified,14.4,11.99,1,other,10.819798284210286,2.7343675094195836,18.0,3,22.0,3,1,1000,0,52.4,0,11.99,324.0,0,High Risk,6.90875477931522,0.6931471805599453,0,major_purchase,individual,3000,99.63,11.99
1360,10.0,TX,MORTGAGE,59000.0,Not Verified,31.14,9.44,0,TX,10.985309671896763,3.4701013603093664,119.0,1,129.0,2,3,15100,3,100.0,0,9.44,14161.0,1,Perfect,9.62251624577579,1.3862943611198906,0,home_improvement,individual,8500,272.05,9.44
1361,2.0,IN,MORTGAGE,60000.0,Verified,17.64,12.62,0,other,11.002116507732017,2.925309809257445,119.0,3,129.0,10,4,27800,1,100.0,0,12.62,14161.0,1,Perfect,10.2328272702548,1.6094379124341003,0,debt_consolidation,individual,3000,100.54,12.62
1362,1.0,TX,MORTGAGE,70000.0,Verified,33.55,11.98,0,TX,11.156264806643742,3.542407550213679,119.0,2,129.0,7,10,83100,3,100.0,0,11.98,14161.0,1,Perfect,11.32781201446548,2.3978952727983707,0,debt_consolidation,individual,28950,643.69,11.98
1363,9.0,AL,MORTGAGE,172000.0,Verified,14.01,12.61,0,other,12.055255569732177,2.7087166456453704,119.0,9,129.0,10,0,0,0,100.0,0,12.61,14161.0,1,Perfect,0.0,0.0,0,debt_consolidation,individual,30000,1005.2,12.61
1364,2.0,MA,RENT,100000.0,Verified,15.86,5.32,1,other,11.51293546492023,2.8249439525737094,119.0,1,129.0,3,4,53300,0,100.0,0,5.32,14161.0,1,Perfect,10.883710371704016,1.6094379124341003,0,other,joint,20000,602.3,5.32
1365,5.0,MD,MORTGAGE,95000.0,Source Verified,27.25,12.61,0,other,11.461642696843066,3.34109345759245,13.0,2,129.0,1,1,27500,3,96.0,0,12.61,169.0,1,Low Risk,10.221977646629885,0.6931471805599453,0,home_improvement,individual,35000,1172.73,12.61
1366,10.0,AZ,MORTGAGE,58000.0,Source Verified,21.73,9.44,0,other,10.968215530759236,3.123685637864452,119.0,0,129.0,4,6,54800,5,100.0,0,9.44,14161.0,1,Perfect,10.911463720944793,1.9459101490553132,0,credit_card,individual,17000,544.09,9.44
1367,0.0,VA,MORTGAGE,68000.0,Source Verified,18.76,15.04,0,other,11.127277689932466,2.983659692319722,119.0,1,129.0,7,1,2200,0,100.0,0,15.04,14161.0,1,Perfect,7.696667081526462,0.6931471805599453,0,debt_consolidation,individual,7500,260.14,15.04
1368,10.0,TX,MORTGAGE,65000.0,Source Verified,9.55,6.71,0,TX,11.082157933374816,2.3561258599220753,119.0,6,129.0,5,3,23800,1,100.0,0,6.71,14161.0,1,Perfect,10.077482875583607,1.3862943611198906,0,other,individual,2500,76.87,6.71
1369,10.0,GA,MORTGAGE,70000.0,Source Verified,20.33,7.35,0,GA,11.156264806643742,3.0601145324832593,119.0,3,129.0,3,5,50400,2,100.0,0,7.35,14161.0,1,Perfect,10.827766295132466,1.791759469228055,0,debt_consolidation,individual,15000,465.57,7.35
1371,2.0,FL,RENT,41000.0,Source Verified,13.11,15.04,1,FL,10.62135173563291,2.6468837658647226,39.0,2,129.0,1,1,800,0,66.7,0,15.04,1521.0,1,High Risk,6.68586094706836,0.6931471805599453,0,other,individual,5000,173.43,15.04
1372,4.0,NY,RENT,75000.0,Source Verified,17.51,9.92,1,NY,11.225256725762893,2.9183111265854063,53.0,2,53.0,4,4,5500,2,81.3,0,9.92,2809.0,0,Moderate Risk,8.612685172875459,1.6094379124341003,0,debt_consolidation,individual,25000,805.75,9.92
1373,10.0,ND,RENT,65000.0,Verified,27.81,16.01,1,other,11.082157933374816,3.360722549096437,119.0,1,129.0,9,3,8500,1,100.0,0,16.01,14161.0,1,Perfect,9.04793908261736,1.3862943611198906,0,debt_consolidation,individual,20000,703.24,16.01
1374,10.0,CA,MORTGAGE,84646.0,Source Verified,2.48,6.72,0,CA,11.346244946886015,1.247032293786383,119.0,0,129.0,1,2,13000,1,100.0,1,6.72,14161.0,1,Perfect,9.472781556562168,1.0986122886681098,1,credit_card,individual,5250,161.44,6.72
1375,3.0,NY,RENT,45000.0,Source Verified,23.97,15.05,1,NY,10.714439990727769,3.217675104291682,26.0,5,26.0,17,2,10900,0,90.9,0,15.05,676.0,0,Moderate Risk,9.296609807128359,1.0986122886681098,0,other,individual,4500,156.11,15.05
1376,1.0,NY,RENT,23500.0,Source Verified,26.66,22.91,1,NY,10.064798252418377,3.319987326236612,119.0,1,129.0,3,2,4100,0,100.0,0,22.91,14161.0,1,Perfect,8.31898612539206,1.0986122886681098,0,debt_consolidation,individual,1000,38.67,22.91
1377,3.0,LA,MORTGAGE,73000.0,Source Verified,20.47,28.72,0,other,11.19822841866684,3.0666566118906897,46.0,1,46.0,8,6,18000,1,74.1,0,28.72,2116.0,0,High Risk,9.798182590890704,1.9459101490553132,0,debt_consolidation,individual,18000,568.29,28.72
1378,6.0,TX,MORTGAGE,190000.0,Source Verified,10.67,6.71,0,TX,12.154784614286667,2.4570214462984645,119.0,3,129.0,3,3,29100,2,100.0,0,6.71,14161.0,1,Perfect,10.278527816830314,1.3862943611198906,0,credit_card,individual,35000,1076.07,6.71
1379,0.0,NY,RENT,36000.0,Source Verified,26.83,10.42,1,NY,10.491301994830229,3.326114575537799,119.0,0,129.0,5,5,21300,0,100.0,0,10.42,14161.0,1,Perfect,9.966509298952284,1.791759469228055,0,debt_consolidation,individual,10000,324.65,10.42
1380,4.0,CA,RENT,46310.0,Not Verified,16.19,9.93,1,CA,10.74313479284995,2.844327819394758,119.0,0,129.0,10,1,10800,0,100.0,0,9.93,14161.0,1,Perfect,9.287394001418473,0.6931471805599453,0,debt_consolidation,individual,22000,466.68,9.93
1381,0.0,TN,MORTGAGE,35000.0,Not Verified,26.3,7.35,0,other,10.463131911491967,3.3068867021909143,74.0,3,129.0,10,4,11000,1,95.8,0,7.35,5476.0,1,Low Risk,9.305741456739435,1.6094379124341003,0,home_improvement,individual,7000,217.27,7.35
1382,3.0,TX,RENT,50000.0,Source Verified,10.78,26.3,1,TX,10.819798284210286,2.4664031782234406,49.0,2,129.0,4,3,19600,0,81.3,1,26.3,2401.0,1,Moderate Risk,9.883335864325275,1.3862943611198906,1,debt_consolidation,individual,12000,361.42,26.3
1383,9.0,GA,RENT,74000.0,Source Verified,30.04,7.34,1,GA,11.211833885608513,3.435276695315018,119.0,2,129.0,9,3,35000,2,100.0,0,7.34,14161.0,1,Perfect,10.463131911491967,1.3862943611198906,0,debt_consolidation,joint,10000,199.63,7.34
1384,10.0,CA,RENT,109000.0,Not Verified,6.79,9.43,1,CA,11.599112335481124,2.052840859882657,64.0,1,64.0,1,3,11300,0,97.2,0,9.43,4096.0,0,Low Risk,9.332646496360152,1.3862943611198906,0,debt_consolidation,individual,12000,384.01,9.43
1385,2.0,GA,MORTGAGE,68000.0,Verified,32.32,10.41,0,GA,11.127277689932466,3.506157817298642,119.0,0,129.0,2,4,29600,1,100.0,0,10.41,14161.0,1,Perfect,10.295563423525277,1.6094379124341003,0,debt_consolidation,individual,20000,428.99,10.41
1386,0.0,NY,MORTGAGE,56000.0,Source Verified,32.9,13.58,0,NY,10.933124826700707,3.5234150143864045,119.0,7,129.0,8,3,17000,1,100.0,0,13.58,14161.0,1,Perfect,9.741027444837728,1.3862943611198906,0,other,individual,5000,169.87,13.58
1387,2.0,TX,RENT,34000.0,Not Verified,16.98,14.08,1,TX,10.434145214930487,2.8892600290434745,17.0,0,17.0,0,2,5000,0,25.0,0,14.08,289.0,0,High Risk,8.517393171418904,1.0986122886681098,0,credit_card,individual,4000,136.87,14.08
1388,10.0,VA,MORTGAGE,99000.0,Not Verified,7.89,9.44,0,other,11.502885230075814,2.1849270495258133,119.0,2,129.0,0,2,17300,0,100.0,0,9.44,14161.0,1,Perfect,9.758519582283522,1.0986122886681098,0,debt_consolidation,individual,12000,384.06,9.44
1389,7.0,NY,RENT,38000.0,Not Verified,21.73,10.91,1,NY,10.545367754151743,3.123685637864452,119.0,0,129.0,0,2,10200,0,100.0,1,10.91,14161.0,1,Perfect,9.23024103368252,1.0986122886681098,1,debt_consolidation,individual,10000,326.97,10.91
1390,6.0,OH,MORTGAGE,55000.0,Source Verified,35.36,9.44,0,OH,10.915106645867503,3.5934692693092782,119.0,1,129.0,4,3,9400,3,100.0,0,9.44,14161.0,1,Perfect,9.148571345578551,1.3862943611198906,0,debt_consolidation,individual,9000,288.05,9.44
1391,4.0,FL,RENT,204000.0,Verified,6.3,6.08,1,FL,12.225880174775122,1.9878743481543455,57.0,0,129.0,2,2,22300,0,93.8,0,6.08,3249.0,1,Moderate Risk,10.012386799492118,1.0986122886681098,0,debt_consolidation,individual,33000,1005.13,6.08
1393,3.0,MS,RENT,55000.0,Not Verified,4.67,10.91,1,other,10.915106645867503,1.7351891177396608,43.0,1,43.0,5,4,13200,0,93.2,0,10.91,1849.0,0,Moderate Risk,9.488047863280759,1.6094379124341003,0,credit_card,individual,16000,347.17,10.91
1394,10.0,NC,RENT,80000.0,Verified,29.62,14.08,1,other,11.289794413577894,3.4216533902295376,80.0,0,80.0,1,3,13300,0,93.3,0,14.08,6400.0,0,Moderate Risk,9.495594499353297,1.3862943611198906,0,debt_consolidation,individual,35000,1197.58,14.08
1395,10.0,KY,OWN,83200.0,Source Verified,22.8,11.98,0,other,11.329014645967838,3.169685580677429,119.0,2,129.0,7,3,70700,2,100.0,0,11.98,14161.0,1,Perfect,11.166214996056205,1.3862943611198906,0,other,individual,13975,310.73,11.98
1396,10.0,IL,RENT,225000.0,Not Verified,5.13,5.32,1,IL,12.323860125621126,1.81319474994812,119.0,4,129.0,4,4,93500,0,100.0,0,5.32,14161.0,1,Perfect,11.445727410406752,1.6094379124341003,0,debt_consolidation,individual,8000,240.92,5.32
1397,5.0,VA,OWN,90000.0,Not Verified,2.19,6.72,0,other,11.407576060361786,1.1600209167967532,119.0,0,129.0,0,3,80800,0,100.0,0,6.72,14161.0,1,Perfect,11.299744620670225,1.3862943611198906,0,debt_consolidation,individual,35000,1076.23,6.72
1398,10.0,NC,MORTGAGE,99000.0,Not Verified,17.78,6.71,0,other,11.502885230075814,2.932792473780117,119.0,2,129.0,3,4,49200,3,100.0,0,6.71,14161.0,1,Perfect,10.803669227477098,1.6094379124341003,0,credit_card,individual,25000,491.62,6.71
1399,10.0,NJ,RENT,45000.0,Source Verified,22.19,15.05,1,NJ,10.714439990727769,3.1437211512674406,30.0,1,129.0,6,8,107100,0,97.4,0,15.05,900.0,1,Low Risk,11.581527593460411,2.1972245773362196,0,debt_consolidation,individual,3500,121.42,15.05
1400,7.0,CO,RENT,45000.0,Source Verified,25.92,10.9,1,other,10.714439990727769,3.2928695047765273,119.0,0,129.0,2,1,11400,0,100.0,0,10.9,14161.0,1,Perfect,9.34145634983372,0.6931471805599453,0,credit_card,individual,10000,216.93,10.9
1401,10.0,PA,RENT,61000.0,Not Verified,19.28,12.62,1,other,11.0186455364637,3.0096351787229825,31.0,0,31.0,1,2,9300,2,88.9,0,12.62,961.0,0,Moderate Risk,9.137877200242468,1.0986122886681098,0,debt_consolidation,individual,11200,252.67,12.62
1402,3.0,MS,MORTGAGE,200000.0,Source Verified,9.99,11.99,0,other,12.206077645517674,2.39698576841553,119.0,0,129.0,1,4,54600,3,100.0,0,11.99,14161.0,1,Perfect,10.907807476583594,1.6094379124341003,0,credit_card,joint,30000,667.19,11.99
1403,0.0,IN,MORTGAGE,80000.0,Not Verified,16.16,5.32,0,other,11.289794413577894,2.8425810940598164,67.0,2,129.0,2,1,9000,0,90.0,0,5.32,4489.0,1,Moderate Risk,9.105090961257085,0.6931471805599453,0,credit_card,individual,10000,301.15,5.32
1404,3.0,IN,RENT,95000.0,Not Verified,10.38,5.32,1,other,11.461642696843066,2.431857428698185,119.0,1,129.0,0,2,44500,3,100.0,0,5.32,14161.0,1,Perfect,10.703266939811954,1.0986122886681098,0,debt_consolidation,individual,10000,301.15,5.32
1405,2.0,NJ,RENT,60000.0,Source Verified,2.72,19.03,1,NJ,11.002116507732017,1.3137236682850553,52.0,16,54.0,10,4,2200,0,84.6,0,19.03,2704.0,0,Moderate Risk,7.696667081526462,1.6094379124341003,0,other,individual,15000,550.07,19.03
1406,5.0,NC,RENT,85000.0,Not Verified,3.52,9.93,1,other,11.350418300109132,1.5085119938441398,29.0,1,129.0,1,5,9100,0,83.3,1,9.93,841.0,1,Moderate Risk,9.116139576577355,1.791759469228055,1,credit_card,individual,7500,241.76,9.93
1407,10.0,MO,MORTGAGE,101500.0,Source Verified,25.96,14.07,0,other,11.527823929632195,3.2943542860441064,119.0,13,129.0,13,3,10000,4,100.0,1,14.07,14161.0,1,Perfect,9.210440366976517,1.3862943611198906,1,credit_card,individual,22000,512.71,14.07
1408,3.0,NY,RENT,43000.0,Source Verified,25.87,13.58,1,NY,10.668978650219241,3.2910104226273997,119.0,8,129.0,5,5,5700,0,100.0,0,13.58,14161.0,1,Perfect,8.648396877031582,1.791759469228055,0,debt_consolidation,individual,6000,203.85,13.58
1409,10.0,MA,RENT,65000.0,Not Verified,17.65,5.31,1,other,11.082157933374816,2.9258461460898246,62.0,0,62.0,3,7,65700,2,92.6,0,5.31,3844.0,0,Moderate Risk,11.092869425057021,2.0794415416798357,0,debt_consolidation,individual,6025,181.42,5.31
1410,10.0,CA,RENT,40000.0,Not Verified,5.65,20.39,1,CA,10.596659732783579,1.8946168546677629,119.0,0,129.0,4,3,4800,0,100.0,0,20.39,14161.0,1,Perfect,8.476579508530941,1.3862943611198906,0,other,individual,10000,373.63,20.39
1411,10.0,CA,RENT,76000.0,Not Verified,20.31,6.71,1,CA,11.23850177707664,3.0591764461105257,119.0,0,129.0,0,6,37700,0,100.0,1,6.71,14161.0,1,Perfect,10.537441898283253,1.9459101490553132,1,credit_card,individual,30000,922.35,6.71
1412,6.0,CA,RENT,82000.0,Source Verified,30.65,13.58,1,CA,11.314486721293981,3.4547381485901854,38.0,0,129.0,2,3,13200,0,94.7,0,13.58,1444.0,1,Moderate Risk,9.488047863280759,1.3862943611198906,0,credit_card,individual,20000,679.48,13.58
1413,3.0,SC,OWN,33000.0,Not Verified,22.16,9.93,0,other,10.404293143019792,3.1424266527047946,119.0,1,129.0,8,8,59000,0,100.0,0,9.93,14161.0,1,Perfect,10.985309671896763,2.1972245773362196,0,debt_consolidation,individual,10000,322.35,9.93
1414,10.0,FL,MORTGAGE,50000.0,Not Verified,28.33,6.71,0,FL,10.819798284210286,3.3786108829893595,119.0,3,129.0,6,6,37400,1,100.0,0,6.71,14161.0,1,Perfect,10.529452721013085,1.9459101490553132,0,major_purchase,individual,12000,368.94,6.71
1415,0.0,MI,RENT,52000.0,Not Verified,18.28,10.91,1,other,10.859018228147887,2.9590682891823996,119.0,7,129.0,5,1,9500,1,100.0,1,10.91,14161.0,1,Perfect,9.15915233520675,0.6931471805599453,1,credit_card,individual,6100,199.45,10.91
1416,1.0,TX,RENT,36000.0,Source Verified,14.67,7.97,1,TX,10.491301994830229,2.7517480563679295,119.0,1,129.0,4,4,38000,0,100.0,0,7.97,14161.0,1,Perfect,10.545367754151743,1.6094379124341003,0,credit_card,individual,12000,375.88,7.97
1417,0.0,NC,MORTGAGE,38000.0,Source Verified,24.42,10.41,0,other,10.545367754151743,3.2355362657613083,119.0,9,129.0,12,1,5500,0,100.0,0,10.41,14161.0,1,Perfect,8.612685172875459,0.6931471805599453,0,debt_consolidation,individual,4000,129.85,10.41
1418,5.0,FL,RENT,60000.0,Source Verified,14.36,14.08,1,FL,11.002116507732017,2.731766727719526,47.0,0,129.0,2,0,0,0,66.7,0,14.08,2209.0,1,High Risk,0.0,0.0,0,other,individual,6000,205.3,14.08
1419,10.0,GA,MORTGAGE,89000.0,Source Verified,17.65,5.32,0,GA,11.39640288460621,2.9258461460898246,119.0,1,129.0,5,4,55500,7,100.0,0,5.32,14161.0,1,Perfect,10.92415631759022,1.6094379124341003,0,debt_consolidation,individual,30000,903.45,5.32
1420,2.0,MD,MORTGAGE,98000.0,Source Verified,17.92,10.91,0,other,11.49273296168228,2.9402195636237325,119.0,1,129.0,5,4,26100,0,100.0,1,10.91,14161.0,1,Perfect,10.169728906753061,1.6094379124341003,1,credit_card,individual,9600,313.89,10.91
